D.O.B.	Dam	Dam Genotype	Sire	Sire Genotype	Wean Date	Ear Tag	Sex	Genotype
11/30/16	T2812 T2892	Rex2 KO/KO	T2599	Rex2 KO/+	12/20/2016	T00202	M	KO/KO
11/30/16	T2812 T2892	Rex2 KO/KO	T2599	Rex2 KO/+	12/20/2016	T00452 (?)	F	KO/+
11/30/16	T2812 T2892	Rex2 KO/KO	T2599	Rex2 KO/+	12/20/2016	T00453 (?)	F	KO/+
12/5/2016	T2813 T2814	Rex2-cl KO/+	R7813	Rex2-cl KO/+	12/27/2016	T00199	M (?)	WT
12/5/2016	T2813 T2814	Rex2-cl KO/+	R7813	Rex2-cl KO/+	12/27/2016	T00203	F	KO/+
12/5/2016	T2813 T2814	Rex2-cl KO/+	R7813	Rex2-cl KO/+	12/27/2016	T00204	F	KO/+
12/5/2016	T2813 T2814	Rex2-cl KO/+	R7813	Rex2-cl KO/+	12/27/2016	T00205	F	WT
12/11/2016	T2808 T2811	Rex2-cl KO/+	R7814	Rex2-cl KO/+	1/6/2017	T00206	F	WT
12/11/2016	T2808 T2811	Rex2-cl KO/+	R7814	Rex2-cl KO/+	1/6/2017	T00207	F	KO/+
12/11/2016	T2808 T2811	Rex2-cl KO/+	R7814	Rex2-cl KO/+	1/6/2017	T00208	F	WT
12/11/2016	T2808 T2811	Rex2-cl KO/+	R7814	Rex2-cl KO/+	1/6/2017	T00209	M	KO/+
12/11/2016	T2808 T2811	Rex2-cl KO/+	R7814	Rex2-cl KO/+	1/6/2017	T00210	M	KO/KO
12/19/2016	T2828 T2891	Rex2-cl KO/+	T2600	Rex2 KO/KO	1/13/2017	T00236	M	KO/KO
12/19/2016	T2828 T2891	Rex2-cl KO/+	T2600	Rex2 KO/KO	1/13/2017	T00237	F	KO/KO
12/19/2016	T2828 T2891	Rex2-cl KO/+	T2600	Rex2 KO/KO	1/13/2017	T00238	F	KO/KO
12/19/2016	T2828 T2891	Rex2-cl KO/+	T2600	Rex2 KO/KO	1/13/2017	T00239	F	KO/+
12/19/2016	T2828 T2891	Rex2-cl KO/+	T2600	Rex2 KO/KO	1/13/2017	T00240	F	KO/KO
12/19/2016	T2828 T2891	Rex2-cl KO/+	T2600	Rex2 KO/KO	1/13/2017	T00241	F	KO/KO
12/19/2016	T2828 T2891	Rex2-cl KO/+	T2600	Rex2 KO/KO	1/13/2017	T00242	F	KO/+
12/19/2016	T2828 T2891	Rex2-cl KO/+	T2600	Rex2 KO/KO	1/13/2017	T00243	F	KO/+
12/17/2016	T2813 T2814	Rex2-cl KO/+	R7813	Rex2-cl KO/+	1/11/2017	T00260	F	KO/KO
12/17/2016	T2813 T2814	Rex2-cl KO/+	R7813	Rex2-cl KO/+	1/11/2017	T00261	F	WT
12/17/2016	T2813 T2814	Rex2-cl KO/+	R7813	Rex2-cl KO/+	1/11/2017	T00262	F	WT
12/17/2016	T2813 T2814	Rex2-cl KO/+	R7813	Rex2-cl KO/+	1/11/2017	T00263	F	KO/+
12/17/2016	T2813 T2814	Rex2-cl KO/+	R7813	Rex2-cl KO/+	1/11/2017	T00264	M	WT
12/17/2016	T2813 T2814	Rex2-cl KO/+	R7813	Rex2-cl KO/+	1/11/2017	T00265	M	KO/+
12/22/16	T2812 T2892	Rex2 KO/KO	T2599	Rex2 KO/+	1/16/2017	T00275	F	KO/KO
12/22/16	T2812 T2892	Rex2 KO/KO	T2599	Rex2 KO/+	1/16/2017	T00276	F	KO/KO
12/22/16	T2812 T2892	Rex2 KO/KO	T2599	Rex2 KO/+	1/16/2017	T00277	F	KO/+
12/22/16	T2812 T2892	Rex2 KO/KO	T2599	Rex2 KO/+	1/16/2017	T00278	F	KO/+
12/22/16	T2812 T2892	Rex2 KO/KO	T2599	Rex2 KO/+	1/16/2017	T00279	M	KO/+
12/22/16	T2812 T2892	Rex2 KO/KO	T2599	Rex2 KO/+	1/16/2017	T00280	M	KO/KO
12/22/16	T2812 T2892	Rex2 KO/KO	T2599	Rex2 KO/+	1/16/2017	T00281	M	KO/KO
12/22/16	T2812 T2892	Rex2 KO/KO	T2599	Rex2 KO/+	1/16/2017	T00282	M	KO/+
01/04/17	T3914	B6/129 F1 KO/+	T3922	B6/129 F1 KO/+	1/25/2017	T00297	F	B6/129 F1 KO/KO
01/04/17	T3914	B6/129 F1 KO/+	T3922	B6/129 F1 KO/+	1/25/2017	T00298	F	B6/129 F1 KO/+
01/04/17	T3914	B6/129 F1 KO/+	T3922	B6/129 F1 KO/+	1/25/2017	T00299	M	B6/129 F1 KO/KO
01/04/17	T3914	B6/129 F1 KO/+	T3922	B6/129 F1 KO/+	1/25/2017	T00300	M	B6/129 F1 KO/KO
01/04/17	T3915	B6/129 F1 KO/+	n/a	129X1/SvJ  	1/26/2017	T00401	F	B6/129 F2 WT
01/04/17	T3915	B6/129 F1 KO/+	n/a	129X1/SvJ  	1/26/2017	T00402	F	B6/129 F2 WT
01/04/17	T3915	B6/129 F1 KO/+	n/a	129X1/SvJ  	1/26/2017	T00403	F	B6/129 F2 KO/+
01/04/17	T3915	B6/129 F1 KO/+	n/a	129X1/SvJ  	1/26/2017	T00455	M	B6/129 F2 WT
01/04/17	T3915	B6/129 F1 KO/+	n/a	129X1/SvJ  	1/26/2017	T00456	M	B6/129 F2 WT
01/04/17	T3915	B6/129 F1 KO/+	n/a	129X1/SvJ  	1/26/2017	T00457	M	B6/129 F2 KO/+
01/04/17	T3915	B6/129 F1 KO/+	n/a	129X1/SvJ  	1/26/2017	T00458	M	B6/129 F2 WT
01/04/17	T3915	B6/129 F1 KO/+	n/a	129X1/SvJ  	1/26/2017	T00459	M	B6/129 F2 WT
01/09/17	T2812 T2892	Rex2 KO/KO	T2599	Rex2 KO/+	1/29/2017	T00407	F	KO/+
01/09/17	T2812 T2892	Rex2 KO/KO	T2599	Rex2 KO/+	1/29/2017	T00408	F	KO/KO
01/09/17	T2812 T2892	Rex2 KO/KO	T2599	Rex2 KO/+	1/29/2017	T00409	F	KO/KO
01/09/17	T2812 T2892	Rex2 KO/KO	T2599	Rex2 KO/+	1/29/2017	T00410	F	KO/+
01/09/17	T2812 T2892	Rex2 KO/KO	T2599	Rex2 KO/+	1/29/2017	T00411	M	KO/KO
01/09/17	T2812 T2892	Rex2 KO/KO	T2599	Rex2 KO/+	1/29/2017	T00412	M	KO/KO
1/11/2017	T2813 T2814	Rex2-cl KO/+	R7813	Rex2-cl KO/+	2/1/2017	T00413	F	KO/+
1/11/2017	T2813 T2814	Rex2-cl KO/+	R7813	Rex2-cl KO/+	2/1/2017	T00414	F	WT
1/11/2017	T2813 T2814	Rex2-cl KO/+	R7813	Rex2-cl KO/+	2/1/2017	T00415	F	KO/KO
1/11/2017	T2813 T2814	Rex2-cl KO/+	R7813	Rex2-cl KO/+	2/1/2017	T00416	F	KO/+
1/11/2017	T2813 T2814	Rex2-cl KO/+	R7813	Rex2-cl KO/+	2/1/2017	T00417	F	KO/+
1/11/2017	T2813 T2814	Rex2-cl KO/+	R7813	Rex2-cl KO/+	2/1/2017	T00466	M	WT
1/3/2017	T2808 T2811	Rex2-cl KO/+	R7814	Rex2-cl KO/+	1/25/2017	T00425	F	KO/+
1/3/2017	T2808 T2811	Rex2-cl KO/+	R7814	Rex2-cl KO/+	1/25/2017	T00426	F	KO/KO
1/3/2017	T2808 T2811	Rex2-cl KO/+	R7814	Rex2-cl KO/+	1/25/2017	T00427	F	KO/+
1/3/2017	T2808 T2811	Rex2-cl KO/+	R7814	Rex2-cl KO/+	1/25/2017	T00428	M	WT
1/3/2017	T2808 T2811	Rex2-cl KO/+	R7814	Rex2-cl KO/+	1/25/2017	T00429	M	KO/+
01/05/17	T3912	B6/129 F1 KO/+	T3920	B6/129 F1 KO/+	1/26/2017	T00430	F	B6/129 F1 KO/+
1/3/2017	T3909	Rex2 KO/KO (F2)	T2946	Rex2 KO/KO (F2)	1/26/2017	T00431	F	Rex2 KO/KO (F3)
1/3/2017	T3909	Rex2 KO/KO (F2)	T2946	Rex2 KO/KO (F2)	1/26/2017	T00432	F	Rex2 KO/KO (F3)
1/3/2017	T3909	Rex2 KO/KO (F2)	T2946	Rex2 KO/KO (F2)	1/26/2017	T00433	F	Rex2 KO/KO (F3)
1/3/2017	T3909	Rex2 KO/KO (F2)	T2946	Rex2 KO/KO (F2)	1/26/2017	T00460	M	Rex2 KO/KO (F3)
01/04/17	T3913	B6/129 F1 KO/+	T3921	B6/129 F1 KO/+	1/26/2017	T00434	F	B6/129 F1 WT
01/04/17	T3913	B6/129 F1 KO/+	T3921	B6/129 F1 KO/+	1/26/2017	T00435	F	B6/129 F1 WT
01/04/17	T3913	B6/129 F1 KO/+	T3921	B6/129 F1 KO/+	1/26/2017	T00436	F	B6/129 F1 KO/KO
01/04/17	T3913	B6/129 F1 KO/+	T3921	B6/129 F1 KO/+	1/26/2017	T00437	F	B6/129 F1 KO/+
01/04/17	T3913	B6/129 F1 KO/+	T3921	B6/129 F1 KO/+	1/26/2017	T00464	M	B6/129 F1 WT
01/04/17	T3913	B6/129 F1 KO/+	T3921	B6/129 F1 KO/+	1/26/2017	T00465	M	B6/129 F1 KO/+
1/6/2017	T2379	Rex2 KO/KO	T3908	Rex2 KO/KO (F2)	1/28/2017	T00472	F	Rex2 KO/KO (F2.5)
1/6/2017	T2379	Rex2 KO/KO	T3908	Rex2 KO/KO (F2)	1/28/2017	T00473	F	Rex2 KO/KO (F2.5)
1/6/2017	T2379	Rex2 KO/KO	T3908	Rex2 KO/KO (F2)	1/28/2017	T00474	F	Rex2 KO/KO (F2.5)
1/6/2017	T2379	Rex2 KO/KO	T3908	Rex2 KO/KO (F2)	1/28/2017	T00475	M	Rex2 KO/KO (F2.5)
1/6/2017	T2379	Rex2 KO/KO	T3908	Rex2 KO/KO (F2)	1/28/2017	T00476	M	Rex2 KO/KO (F2.5)
1/6/2017	T2379	Rex2 KO/KO	T3908	Rex2 KO/KO (F2)	1/28/2017	T00477	M	Rex2 KO/KO (F2.5)
1/6/2017	T2379	Rex2 KO/KO	T3908	Rex2 KO/KO (F2)	1/28/2017	T00478	M	Rex2 KO/KO (F2.5)
1/6/2017	T2810 T2750	WT	T2806	Rex2 KO/+	1/28/2017	T00479	F	KO/+
1/6/2017	T2810 T2750	WT	T2806	Rex2 KO/+	1/28/2017	T00480	F	KO/+
1/6/2017	T2810 T2750	WT	T2806	Rex2 KO/+	1/28/2017	T00481	F	KO/+
1/6/2017	T2810 T2750	WT	T2806	Rex2 KO/+	1/28/2017	T00482	M	WT
1/24/2017	T2808 T2811	Rex2-cl KO/+	R7814	Rex2-cl KO/+	2/13/2017	T00491	F	WT
1/24/2017	T2808 T2811	Rex2-cl KO/+	R7814	Rex2-cl KO/+	2/13/2017	T00492	M	KO/+
1/24/2017	T2815 T2816	WT	T2804	Rex2 KO/+	2/13/2017	T00508	F	WT
1/24/2017	T2815 T2816	WT	T2804	Rex2 KO/+	2/13/2017	T00509	F	KO/+
1/24/2017	T2815 T2816	WT	T2804	Rex2 KO/+	2/13/2017	T00510	F	KO/+
1/24/2017	T2815 T2816	WT	T2804	Rex2 KO/+	2/13/2017	T00515	M	WT
1/24/2017	T2815 T2816	WT	T2804	Rex2 KO/+	2/13/2017	T00516	M	KO/+
02/01/17	T2812 T2892	Rex2 KO/KO	T2599	Rex2 KO/+	2/20/2017	T00517	F	KO/KO
02/01/17	T2812 T2892	Rex2 KO/KO	T2599	Rex2 KO/+	2/20/2017	T00518	F	KO/+
02/01/17	T2812 T2892	Rex2 KO/KO	T2599	Rex2 KO/+	2/20/2017	T00532	M	KO/KO
02/01/17	T2812 T2892	Rex2 KO/KO	T2599	Rex2 KO/+	2/20/2017	T00533	M	KO/KO
1/28/2017	T2810 T2750	WT	T2806	Rex2 KO/+	2/17/2017	T00519	M	KO/+
1/28/2017	T2810 T2750	WT	T2806	Rex2 KO/+	2/17/2017	T00520	M	KO/+
1/28/2017	T2810 T2750	WT	T2806	Rex2 KO/+	2/17/2017	T00521	M	WT
1/28/2017	T2810 T2750	WT	T2806	Rex2 KO/+	2/17/2017	T00522	F	KO/+
1/28/2017	T2810 T2750	WT	T2806	Rex2 KO/+	2/17/2017	T00523	F	WT
1/21/2017	T2808 T2811	Rex2-cl KO/+	R7814	Rex2-cl KO/+	2/21/2017	T00524	M	KO/KO
1/21/2017	T2808 T2811	Rex2-cl KO/+	R7814	Rex2-cl KO/+	2/21/2017	T00525	M	WT
1/21/2017	T2808 T2811	Rex2-cl KO/+	R7814	Rex2-cl KO/+	2/21/2017	T00534	F (?)	KO/+
1/21/2017	T2808 T2811	Rex2-cl KO/+	R7814	Rex2-cl KO/+	2/21/2017	T00535	F (?)	KO/+
01/29/17	T3912	B6/129 F1 KO/+	T3920	B6/129 F1 KO/+	2/23/2017	T00529	F	B6/129 F1 KO/+
01/29/17	T3912	B6/129 F1 KO/+	T3920	B6/129 F1 KO/+	2/23/2017	T00530	F	B6/129 F1 KO/KO
01/29/17	T3912	B6/129 F1 KO/+	T3920	B6/129 F1 KO/+	2/23/2017	T00531	F	B6/129 F1 KO/+
01/29/17	T3912	B6/129 F1 KO/+	T3920	B6/129 F1 KO/+	2/23/2017	T00537	M	B6/129 F1 KO/+
01/29/17	T3912	B6/129 F1 KO/+	T3920	B6/129 F1 KO/+	2/23/2017	T00538	M	B6/129 F1 KO/+
01/29/17	T3912	B6/129 F1 KO/+	T3920	B6/129 F1 KO/+	2/23/2017	T00539	M	B6/129 F1 KO/KO
01/29/17	T3912	B6/129 F1 KO/+	T3920	B6/129 F1 KO/+	2/23/2017	T00540	M	B6/129 F1 WT
01/29/17	T3912	B6/129 F1 KO/+	T3920	B6/129 F1 KO/+	2/23/2017	T00541	M	B6/129 F1 KO/+
1/25/2017	T2813 T2814	Rex2-cl KO/+	R7813	Rex2-cl KO/+	2/13/2017	T00536	M	KO/+
1/30/2017	T2379	Rex2 KO/KO	T3908	Rex2 KO/KO (F2)	2/23/2017	T00555	F	Rex2 KO/KO (F2.5)
1/30/2017	T2379	Rex2 KO/KO	T3908	Rex2 KO/KO (F2)	2/23/2017	T00556	F	Rex2 KO/KO (F2.5)
1/30/2017	T2379	Rex2 KO/KO	T3908	Rex2 KO/KO (F2)	2/23/2017	T00557	F	Rex2 KO/KO (F2.5)
1/30/2017	T2379	Rex2 KO/KO	T3908	Rex2 KO/KO (F2)	2/23/2017	T00558	F	Rex2 KO/KO (F2.5)
1/30/2017	T2379	Rex2 KO/KO	T3908	Rex2 KO/KO (F2)	2/23/2017	T00559	M	Rex2 KO/KO (F2.5)
1/30/2017	T2379	Rex2 KO/KO	T3908	Rex2 KO/KO (F2)	2/23/2017	T00560	M	Rex2 KO/KO (F2.5)
02/04/17	T3913	B6/129 F1 KO/+	T3921	B6/129 F1 KO/+	3/2/2017	T00561	F	B6/129 F1 KO/+
02/04/17	T3913	B6/129 F1 KO/+	T3921	B6/129 F1 KO/+	3/2/2017	T00562	F	B6/129 F1 KO/+
02/04/17	T3913	B6/129 F1 KO/+	T3921	B6/129 F1 KO/+	3/2/2017	T00563	F	B6/129 F1 WT
02/04/17	T3913	B6/129 F1 KO/+	T3921	B6/129 F1 KO/+	3/2/2017	T00564	F	B6/129 F1 KO/+
02/04/17	T3913	B6/129 F1 KO/+	T3921	B6/129 F1 KO/+	3/2/2017	T00565	M	B6/129 F1 KO/KO
02/04/17	T3913	B6/129 F1 KO/+	T3921	B6/129 F1 KO/+	3/2/2017	T00566	M	B6/129 F1 WT
02/04/17	T3913	B6/129 F1 KO/+	T3921	B6/129 F1 KO/+	3/2/2017	T00607	F	B6/129 F1 KO/KO
02/04/17	T3913	B6/129 F1 KO/+	T3921	B6/129 F1 KO/+	3/2/2017	T00608	F	B6/129 F1 KO/+
02/04/17	T3913	B6/129 F1 KO/+	T3921	B6/129 F1 KO/+	3/2/2017	T00609	F	B6/129 F1 KO/+
01/24/17	T3914	B6/129 F1 KO/+	T3922	B6/129 F1 KO/+	3/1/2017	T00567	F	B6/129 F1 WT
01/24/17	T3914	B6/129 F1 KO/+	T3922	B6/129 F1 KO/+	3/1/2017	T00568	F	B6/129 F1 KO/+
01/24/17	T3914	B6/129 F1 KO/+	T3922	B6/129 F1 KO/+	3/1/2017	T00569	F	B6/129 F1 WT
01/24/17	T3914	B6/129 F1 KO/+	T3922	B6/129 F1 KO/+	3/1/2017	T00570	F	B6/129 F1 KO/+
01/24/17	T3914	B6/129 F1 KO/+	T3922	B6/129 F1 KO/+	3/1/2017	T00571	M	B6/129 F1 KO/+
01/24/17	T3914	B6/129 F1 KO/+	T3922	B6/129 F1 KO/+	3/1/2017	T00572	M	B6/129 F1 KO/KO
01/24/17	T3914	B6/129 F1 KO/+	T3922	B6/129 F1 KO/+	3/1/2017	T00573	M	B6/129 F1 WT
01/30/17	T3915	B6/129 F1 KO/+	n/a	129X1/SvJ  	2/23/2017	T00574	F	B6/129 F2 WT
01/30/17	T3915	B6/129 F1 KO/+	n/a	129X1/SvJ  	2/23/2017	T00575	F	B6/129 F2 KO/+
01/30/17	T3915	B6/129 F1 KO/+	n/a	129X1/SvJ  	2/23/2017	T00576	F	B6/129 F2 WT
01/30/17	T3915	B6/129 F1 KO/+	n/a	129X1/SvJ  	2/23/2017	T00577	F	B6/129 F2 KO/+
01/30/17	T3915	B6/129 F1 KO/+	n/a	129X1/SvJ  	2/23/2017	T00578	F	B6/129 F2 KO/+
01/30/17	T3915	B6/129 F1 KO/+	n/a	129X1/SvJ  	2/23/2017	T00579	M	B6/129 F2 KO/+
01/30/17	T3915	B6/129 F1 KO/+	n/a	129X1/SvJ  	2/23/2017	T00580	M	B6/129 F2 WT
01/30/17	T3915	B6/129 F1 KO/+	n/a	129X1/SvJ  	2/23/2017	T00581	M	B6/129 F2 WT
01/30/17	T3915	B6/129 F1 KO/+	n/a	129X1/SvJ  	2/23/2017	T00582	M	B6/129 F2 KO/+
01/30/17	T3915	B6/129 F1 KO/+	n/a	129X1/SvJ  	2/23/2017	T00583	M	B6/129 F2 WT
02/14/17	T2812 T2892	Rex2 KO/KO	T2599	Rex2 KO/+	3/7/2017	T00594	F	KO/+
						T00595	M	KO/KO
2/15/2017	T2808 T2811	Rex2-cl KO/+	R7814	Rex2-cl KO/+	3/8/2017	T00606	F	KO/KO
02/14/17	T3914	B6/129 F1 KO/+	T3922	B6/129 F1 KO/+	3/8/2017	T00617	F	B6/129 F1 WT
02/14/17	T3914	B6/129 F1 KO/+	T3922	B6/129 F1 KO/+	3/8/2017	T00618	F	B6/129 F1 KO/KO
02/14/17	T3914	B6/129 F1 KO/+	T3922	B6/129 F1 KO/+	3/8/2017	T00619	F	B6/129 F1 KO/KO
02/14/17	T3914	B6/129 F1 KO/+	T3922	B6/129 F1 KO/+	3/8/2017	T00620	F	B6/129 F1 KO/+
02/14/17	T3914	B6/129 F1 KO/+	T3922	B6/129 F1 KO/+	3/8/2017	T00621	F	B6/129 F1 KO/+
02/14/17	T3914	B6/129 F1 KO/+	T3922	B6/129 F1 KO/+	3/8/2017	T00622	M	B6/129 F1 KO/KO
02/14/17	T3914	B6/129 F1 KO/+	T3922	B6/129 F1 KO/+	3/8/2017	T00623	M	B6/129 F1 KO/+
2/8/2017	T2828 T2891	Rex2-cl KO/+	T2600	Rex2 KO/KO	3/2/2017	T00641	F	KO/+
2/8/2017	T2828 T2891	Rex2-cl KO/+	T2600	Rex2 KO/KO	3/2/2017	T00642	F	KO/KO
2/8/2017	T2828 T2891	Rex2-cl KO/+	T2600	Rex2 KO/KO	3/2/2017	T00643	M	KO/+
2/8/2017	T2828 T2891	Rex2-cl KO/+	T2600	Rex2 KO/KO	3/2/2017	T00644	M	KO/KO
2/8/2017	T2828 T2891	Rex2-cl KO/+	T2600	Rex2 KO/KO	3/2/2017	T00645	M	KO/KO
2/8/2017	T2828 T2891	Rex2-cl KO/+	T2600	Rex2 KO/KO	3/2/2017	T00646	M	KO/KO
2/17/2017	T2813 T2814	Rex2-cl KO/+	R7813	Rex2-cl KO/+	3/8/2017	T00647	M	KO/+
2/17/2017	T2813 T2814	Rex2-cl KO/+	R7813	Rex2-cl KO/+	3/8/2017	T00648	M	KO/+
2/17/2017	T2813 T2814	Rex2-cl KO/+	R7813	Rex2-cl KO/+	3/8/2017	T00649	M	KO/+
3/8/2017	T2808 T2811	Rex2-cl KO/+	R7814	Rex2-cl KO/+	3/29/2017	T00832	F	WT
3/8/2017	T2808 T2811	Rex2-cl KO/+	R7814	Rex2-cl KO/+	3/29/2017	T00833	M	WT
3/8/2017	T2808 T2811	Rex2-cl KO/+	R7814	Rex2-cl KO/+	3/29/2017	T00834	M	KO/KO
3/8/2017	T2808 T2811	Rex2-cl KO/+	R7814	Rex2-cl KO/+	3/29/2017	T00835	M	KO/KO
03/08/17	T2812 T2892	Rex2 KO/KO	T2599	Rex2 KO/+	3/29/2017	T00851	F	KO/+
03/08/17	T2812 T2892	Rex2 KO/KO	T2599	Rex2 KO/+	3/29/2017	T00852	F	KO/+
03/08/17	T2812 T2892	Rex2 KO/KO	T2599	Rex2 KO/+	3/29/2017	T00853	M	KO/KO
3/5/2017	T2828 T2891	Rex2-cl KO/+	T2600	Rex2 KO/KO	3/26/2017	T00854	F	KO/KO
3/5/2017	T2828 T2891	Rex2-cl KO/+	T2600	Rex2 KO/KO	3/26/2017	T00855	F	KO/+
3/5/2017	T2828 T2891	Rex2-cl KO/+	T2600	Rex2 KO/KO	3/26/2017	T00856	F	KO/KO
3/5/2017	T2828 T2891	Rex2-cl KO/+	T2600	Rex2 KO/KO	3/26/2017	T00857	F	KO/+
3/5/2017	T2828 T2891	Rex2-cl KO/+	T2600	Rex2 KO/KO	3/26/2017	T00858	F	KO/KO
3/5/2017	T2828 T2891	Rex2-cl KO/+	T2600	Rex2 KO/KO	3/26/2017	T00859	F	KO/+
3/5/2017	T2828 T2891	Rex2-cl KO/+	T2600	Rex2 KO/KO	3/26/2017	T00860	M	KO/+
3/5/2017	T2828 T2891	Rex2-cl KO/+	T2600	Rex2 KO/KO	3/26/2017	T00861	M	KO/KO
3/5/2017	T2828 T2891	Rex2-cl KO/+	T2600	Rex2 KO/KO	3/26/2017	T00862	M	KO/KO
3/5/2017	T2828 T2891	Rex2-cl KO/+	T2600	Rex2 KO/KO	3/26/2017	T00863	M	KO/+
2/24/2017	T2815 T2816	WT	T2804	Rex2 KO/+	3/20/2017	T00657	F	KO/+
2/24/2017	T2815 T2816	WT	T2804	Rex2 KO/+	3/20/2017	T00658	F	KO/+
2/24/2017	T2815 T2816	WT	T2804	Rex2 KO/+	3/20/2017	T00659	F	KO/+
02/26/17	T2812 T2892	Rex2 KO/KO	T2599	Rex2 KO/+	3/20/2017	T00667	F	KO/KO
02/26/17	T2812 T2892	Rex2 KO/KO	T2599	Rex2 KO/+	3/20/2017	T00668	M	KO/+
02/26/17	T2812 T2892	Rex2 KO/KO	T2599	Rex2 KO/+	3/20/2017	T00669	M	KO/+
02/26/17	T2812 T2892	Rex2 KO/KO	T2599	Rex2 KO/+	3/20/2017	T00670	M	KO/+
2/22/2017	T2813 T2814	Rex2-cl KO/+	R7813	Rex2-cl KO/+	3/15/2017	T00678	F	KO/+
2/22/2017	T2813 T2814	Rex2-cl KO/+	R7813	Rex2-cl KO/+	3/15/2017	T00679	F	KO/KO
2/22/2017	T2813 T2814	Rex2-cl KO/+	R7813	Rex2-cl KO/+	3/15/2017	T00680	M	KO/+
2/19/2017	T3912	B6/129 F1 KO/+	T3920	B6/129 F1 KO/+	3/13/2017	T00681	F	B6/129 F1 KO/+
2/19/2017	T3912	B6/129 F1 KO/+	T3920	B6/129 F1 KO/+	3/13/2017	T00682	F	B6/129 F1 KO/+
2/19/2017	T3912	B6/129 F1 KO/+	T3920	B6/129 F1 KO/+	3/13/2017	T00683	F	B6/129 F1 KO/+
2/19/2017	T3912	B6/129 F1 KO/+	T3920	B6/129 F1 KO/+	3/13/2017	T00684	M	B6/129 F1 KO/KO
2/19/2017	T3912	B6/129 F1 KO/+	T3920	B6/129 F1 KO/+	3/13/2017	T00685	M	B6/129 F1 KO/KO
2/19/2017	T3912	B6/129 F1 KO/+	T3920	B6/129 F1 KO/+	3/13/2017	T00686	M	B6/129 F1 WT
2/19/2017	T3912	B6/129 F1 KO/+	T3920	B6/129 F1 KO/+	3/13/2017	T00687	M	B6/129 F1 KO/+
2/19/2017	T3912	B6/129 F1 KO/+	T3920	B6/129 F1 KO/+	3/13/2017	T00688	M	B6/129 F1 WT
2/18/2017	T3909	Rex2 KO/KO (F2)	T2946	Rex2 KO/KO (F2)	3/13/2017	T00689	F	Rex2 KO/KO (F3)
2/18/2017	T3909	Rex2 KO/KO (F2)	T2946	Rex2 KO/KO (F2)	3/13/2017	T00690	F	Rex2 KO/KO (F3)
2/18/2017	T3909	Rex2 KO/KO (F2)	T2946	Rex2 KO/KO (F2)	3/13/2017	T00691	F	Rex2 KO/KO (F3)
2/18/2017	T3909	Rex2 KO/KO (F2)	T2946	Rex2 KO/KO (F2)	3/13/2017	T00692	F	Rex2 KO/KO (F3)
2/18/2017	T3909	Rex2 KO/KO (F2)	T2946	Rex2 KO/KO (F2)	3/13/2017	T00693	F	Rex2 KO/KO (F3)
2/18/2017	T3909	Rex2 KO/KO (F2)	T2946	Rex2 KO/KO (F2)	3/13/2017	T00694	M	Rex2 KO/KO (F3)
2/18/2017	T3909	Rex2 KO/KO (F2)	T2946	Rex2 KO/KO (F2)	3/13/2017	T00695	M	Rex2 KO/KO (F3)
2/20/2017	T2810 T2750	WT	T2806	Rex2 KO/+	3/13/2017	T00696	M	KO/+
2/20/2017	T2810 T2750	WT	T2806	Rex2 KO/+	3/13/2017	T00697	M	WT
03/05/17	T3913	B6/129 F1 KO/+	T3921	B6/129 F1 KO/+	3/28/2017	T00864	F	B6/129 F1 KO/+
03/05/17	T3913	B6/129 F1 KO/+	T3921	B6/129 F1 KO/+	3/28/2017	T00865	F	B6/129 F1 WT
03/05/17	T3913	B6/129 F1 KO/+	T3921	B6/129 F1 KO/+	3/28/2017	T00866	F	B6/129 F1 KO/+
03/05/17	T3913	B6/129 F1 KO/+	T3921	B6/129 F1 KO/+	3/28/2017	T00867	F	B6/129 F1 WT
03/05/17	T3913	B6/129 F1 KO/+	T3921	B6/129 F1 KO/+	3/28/2017	T00868	F	B6/129 F1 KO/+
03/05/17	T3913	B6/129 F1 KO/+	T3921	B6/129 F1 KO/+	3/28/2017	T00869	M	B6/129 F1 KO/KO
03/05/17	T3913	B6/129 F1 KO/+	T3921	B6/129 F1 KO/+	3/28/2017	T00870	M	B6/129 F1 KO/+
03/05/17	T3913	B6/129 F1 KO/+	T3921	B6/129 F1 KO/+	3/28/2017	T00871	M	B6/129 F1 KO/+
03/05/17	T3913	B6/129 F1 KO/+	T3921	B6/129 F1 KO/+	3/28/2017	T00872	M	B6/129 F1 KO/KO
03/09/17	T3914	B6/129 F1 KO/+	T3922	B6/129 F1 KO/+	4/3/2017	T00873	F	B6/129 F1 KO/+
03/09/17	T3914	B6/129 F1 KO/+	T3922	B6/129 F1 KO/+	4/3/2017	T00874	F	B6/129 F1 KO/+
03/09/17	T3914	B6/129 F1 KO/+	T3922	B6/129 F1 KO/+	4/3/2017	T00875	F	B6/129 F1 KO/+
03/09/17	T3914	B6/129 F1 KO/+	T3922	B6/129 F1 KO/+	4/3/2017	T00876	F	B6/129 F1 KO/KO
03/09/17	T3914	B6/129 F1 KO/+	T3922	B6/129 F1 KO/+	4/3/2017	T00877	F	B6/129 F1 KO/+
03/09/17	T3914	B6/129 F1 KO/+	T3922	B6/129 F1 KO/+	4/3/2017	T00878	F	B6/129 F1 KO/KO
03/09/17	T3914	B6/129 F1 KO/+	T3922	B6/129 F1 KO/+	4/3/2017	T00879	F	B6/129 F1 KO/+
