TE	KAP1_Mean	KAP1_log2fold	KAP1_qvalue	H3K9me3_Mean	H3K9me3_log2fold	H3K9me3_qvalue
MER117	2912.725055	-0.005472039	0.998128723	2359.825509	0.012354877	NA
RMER17D	8433.505202	-0.0054245	0.998128723	7346.358235	-0.029761723	NA
ORR1A1	26525.25057	-0.005405245	0.998128723	23422.29241	-0.045517951	0.586430445
MER45C	1242.486249	-0.005345485	0.998128723	968.2177269	0.003601327	NA
L1_Mus1	381267.5139	-0.005294131	0.998128723	374672.4912	-0.021757762	0.767403246
RMER17C	40689.63187	-0.005258356	0.998128723	30148.06783	0.007752227	0.952317802
L1MC1	32682.75158	-0.005132952	0.998128723	27071.215	-0.001614248	0.990130733
MT-int	3181.622035	-0.005094243	0.998128723	2844.920874	-0.044391953	NA
Charlie2a	2756.002517	-0.005026606	0.998128723	2233.231505	0.035584947	NA
MTEa-int	12622.13226	-0.004811995	0.998128723	10661.33652	0.003866147	NA
Lx8	425716.9039	-0.004805311	0.998128723	352872.1807	0.003667754	0.952317802
RLTR20A2	4553.559284	-0.004778149	0.998128723	3603.975059	0.005719663	NA
L1M1	2982.803385	-0.004767714	0.998128723	2532.791284	-0.000609903	NA
RLTR31B_Mm	2946.39391	-0.004764829	0.998128723	2499.38914	-0.095210702	NA
ORR1D2	81723.25026	-0.004552951	0.998128723	67358.37806	-0.002959451	0.978097261
L1_Mm	166575.439	-0.004450244	0.998128723	163943.4843	-0.012287006	0.906595541
MER47B	2612.472712	-0.004421515	0.998128723	2098.100992	0.06425073	NA
L1VL2	85205.11824	-0.004373512	0.998128723	93539.89153	-0.040006321	0.688259486
Lx5	286266.7932	-0.004359642	0.998128723	243186.7459	-0.020812754	0.688259486
Charlie6	756.6189742	-0.004267497	0.998128723	705.705207	0.000876788	NA
L1MC	29013.92287	-0.004188106	0.998128723	24395.79697	0.000867024	0.990130733
RLTR15	30155.2836	-0.004077802	0.998128723	24554.89195	0.003899387	0.952317802
MER115	2576.036763	-0.003894638	0.998128723	1908.902594	-0.013046021	NA
L1_Mus2	240217.4327	-0.003414188	0.998128723	224801.1028	-0.020222462	0.827663134
MLT1F	8336.441166	-0.003315601	0.998128723	6472.779502	-0.000575788	NA
MER110-int	200.1606215	-0.003250124	0.998128723	175.9562756	-0.054745748	NA
L1MA9	22964.11342	-0.003232512	0.998128723	19355.55524	0.035887498	0.559188405
MER70A	999.6908277	-0.002960564	0.998128723	804.6382087	-0.009087781	NA
MER45A	2571.436909	-0.002902678	0.998128723	1984.902523	0.008046403	NA
L1M4c	16976.61682	-0.002883532	0.998128723	14463.91742	0.017695965	NA
MER34	2982.256421	-0.002841627	0.998128723	2398.51317	0.002547329	NA
MTE2b	75132.43249	-0.002732575	0.998128723	61762.27014	0.00822974	0.952317802
ORR1C2	55045.84689	-0.002696564	0.998128723	49104.64858	-0.011295755	0.952317802
MER82	8794.387914	-0.002690384	0.998128723	6935.492843	0.017520276	NA
MamRep1894	95.97467929	-0.002673014	0.998128723	76.12324659	-0.011335584	NA
RMER15	90373.62255	-0.002065263	0.998128723	79215.64906	-0.007132888	0.952317802
MLT2B4	8821.400916	-0.001994061	0.998128723	7168.50182	0.006918702	NA
L1VL1	41135.5481	-0.00199355	0.998128723	47639.73228	-0.060592485	0.506622449
Lx3_Mus	130524.4088	-0.001892066	0.998128723	110409.3439	-0.014291052	0.904804207
L1MC5	11149.70692	-0.00180256	0.998128723	8962.817724	0.024566284	NA
ORR1D1-int	15624.20856	-0.001725164	0.998128723	13930.21899	-0.016889242	NA
RLTR43B	30.80105417	-0.001714435	0.998128723	29.5603031	-0.076793766	NA
MER63B	2583.489503	-0.001710716	0.998128723	2059.604914	0.035749912	NA
L1MA8	19832.50684	-0.001445355	0.998128723	16437.79727	0.015601986	0.906595541
ORR1E	145331.7588	-0.00139812	0.998128723	119345.8947	0.004824949	0.952317802
MER74B	1754.060121	-0.001253941	0.998128723	1366.756749	0.029080944	NA
MLT1H	10680.96524	-0.001236406	0.998128723	8542.642525	0.011088933	NA
LTR29	122.5989007	-0.001128295	0.998128723	106.9192213	-0.003872212	NA
Lx3C	85782.13912	-0.001059684	0.998128723	72163.76265	-0.022289165	0.688259486
RMER17B	37569.82877	-0.000998262	0.998128723	30421.00584	-0.000344602	0.991760874
MLT1I	7327.373357	-0.000835879	0.998128723	5862.324492	0.034732326	NA
L1MB1	13094.69937	-0.00083318	0.998128723	10828.68171	0.006944207	NA
RLTR18B	15417.71353	-0.000805228	0.998128723	12371.04811	-0.013040891	NA
RLTR17	24084.06944	-0.000757727	0.998128723	19901.13928	-0.032637098	0.688259486
MER102c	1396.783118	-0.000732782	0.998128723	1076.104785	-0.046186003	NA
LTR16D	838.2551268	-0.000687898	0.998128723	624.3001945	0.000451216	NA
MTB	45744.97754	-0.000571842	0.998128723	37536.02249	0.006490971	0.952317802
L1M2b	56.18530375	-0.000261943	0.998128723	43.99920256	0.025715605	NA
L1MDa	18121.42227	-0.000151393	0.998128723	15058.3709	0.005715255	NA
MTC-int	28603.86801	-0.000140975	0.998128723	24002.49342	-0.011562244	0.906595541
MER5C1	256.3177039	-0.000131394	0.998214647	203.415482	0.077510156	NA
Tigger16b	513.5445664	-0.00010573	0.998214647	401.1840204	-0.076448271	NA
RMER30	11396.67072	0.000153655	0.998128723	9045.508629	0.023595261	NA
HAL1-3A_ME	10600.07234	0.000159589	0.998128723	8216.23986	-0.024523647	NA
RLTR14	15475.62038	0.000200489	0.998128723	12531.22545	0.040159337	NA
RLTR40	17127.67469	0.000208054	0.998128723	14767.91831	0.008830759	NA
MLT1A0	47408.15566	0.00024266	0.998128723	38167.18205	0.00697238	0.952317802
L1MB5	19860.58896	0.000319931	0.998128723	15926.77206	0.026021931	0.767403246
MLT1F1	7887.926418	0.000321143	0.998128723	6103.197521	0.003507878	NA
Cheshire	4778.826812	0.000622591	0.998128723	3824.662192	0.018725585	NA
MTEa	103540.7378	0.000715468	0.998128723	84146.3484	0.004647706	0.952317802
Charlie1	5421.424075	0.000788499	0.998128723	4293.276932	-0.030946583	NA
MER72B	227.0030646	0.000810208	0.998128723	216.9828236	-0.020973475	NA
LTR88c	501.6453392	0.000818186	0.998128723	390.7560898	-0.009492493	NA
ORR1D-int	3791.269777	0.000834664	0.998128723	3428.709575	0.005908543	NA
LTR58	33.08618371	0.000861299	0.998128723	28.61543025	-0.011268205	NA
Arthur1	5519.385165	0.000891672	0.998128723	4391.044521	0.04179416	NA
HAL1N1_MD	12.46596722	0.000943025	0.998128723	10.50283571	-0.023356087	NA
RCHARR1	39852.52824	0.001034778	0.998128723	32251.7328	0.03245443	0.688259486
L1MC3	30132.54192	0.001052739	0.998128723	24693.62088	-0.000497725	0.990130733
MER20	22099.15957	0.001065046	0.998128723	16827.44067	0.040396895	0.579767864
L1P5	557.8119581	0.001077523	0.998128723	471.8970536	0.010745396	NA
L1MA5	24746.58261	0.001096612	0.998128723	20771.2262	0.004366186	0.963707397
MamRep434	2033.638218	0.001227189	0.998128723	1626.334264	0.068430819	NA
L1M2a1	18.70337518	0.00144792	0.998128723	14.74085555	-0.031418144	NA
ORR1B1	92207.36621	0.001449555	0.998128723	78634.76274	-0.02035157	0.892371926
L1MB2	15579.30381	0.001863957	0.998128723	12384.49103	0.011720734	NA
Tigger8	554.7411557	0.001932416	0.998128723	439.2301375	-0.003819397	NA
MER20B	3543.304482	0.002193785	0.998128723	2823.719246	0.019046737	NA
RMER6A	39250.17772	0.002228575	0.998128723	35440.67699	0.028153808	0.84103005
MLT1F2	12125.64858	0.002237159	0.998128723	9563.689662	0.006197055	NA
MTA_Mm-int	47158.96151	0.002250255	0.998128723	43541.67726	-0.031549881	0.688259486
ORR1C1	44288.96956	0.002609198	0.998128723	38647.3152	-0.005471861	0.952317802
L1M5	75442.51104	0.002635312	0.998128723	62289.78627	0.008037801	0.952317802
Arthur1B	2208.231206	0.002687754	0.998128723	1813.246103	0.052220786	NA
ORR1A0	15152.60838	0.002935461	0.998128723	14864.74593	-0.037304748	NA
SRV_MM-int	3024.359219	0.00307763	0.998128723	3329.493271	-0.074830819	NA
RLTR11A2	24324.66214	0.003169322	0.998128723	19873.33392	-0.025534695	0.68476834
LFSINE_Vert	1407.627599	0.003184394	0.998128723	1057.992069	0.060513028	NA
L1ME5	801.8709167	0.003281414	0.998128723	635.3565856	0.097651407	NA
ID2	13785.0425	0.003293135	0.998128723	10167.25614	0.02615471	NA
RLTR14-int	14414.33418	0.003377019	0.998128723	12730.01412	0.015521236	NA
MER97a	304.5297022	0.003443794	0.998128723	250.9293038	0.029738324	NA
MER58B	11179.03732	0.003679445	0.998128723	8748.709965	0.022729981	NA
MTC	157773.0163	0.003691606	0.998128723	127542.6332	0.005899994	0.952317802
MER66-int	70.11950389	0.003923475	0.998128723	58.50138755	0.042969464	NA
MamRep488	113.64582	0.003925889	0.998128723	64.80514382	-0.05236397	NA
MER91C	280.8769056	0.004091662	0.998128723	234.682809	-0.027801621	NA
MurERV4-int	16247.27331	0.004108758	0.998128723	15023.39721	-0.00922614	NA
URR1A	72080.55398	0.00412433	0.998128723	57169.164	0.010645006	0.912071984
RLTR18-int	3124.015944	0.004141312	0.998128723	2697.598278	0.029248627	NA
MTE-int	35620.73456	0.004187813	0.998128723	29555.11597	0.007731599	0.952317802
MuRRS4-int	19557.47101	0.004343533	0.998128723	25285.8182	-0.082306617	0.484334221
RLTR22_Mus	8825.906436	0.004458175	0.998128723	7819.372056	0.033521671	NA
MTB_Mm	32864.82826	0.004541521	0.998128723	26248.66114	0.001567984	0.990130733
URR1B	69893.43363	0.004608708	0.998128723	54997.66797	0.02374167	0.688259486
B2_Mm2	355136.9946	0.004654691	0.998128723	271522.1182	0.037631797	0.484334221
ERVL-E-int	5973.31341	0.004781589	0.998128723	4882.818268	0.048068778	NA
MLT1E1	2849.224318	0.004890012	0.998128723	2296.504974	-0.018654273	NA
LTR16A	7145.392118	0.00490612	0.998128723	5635.353756	0.005896006	NA
L1MB7	37703.03727	0.004963242	0.998128723	30144.0865	0.013215593	0.906595541
L1MC2	12342.35201	0.004990812	0.998128723	10184.31456	0.004362007	NA
MER66C	60.83778653	0.005161246	0.998128723	38.88795041	0.024954149	NA
RMER17A2	16852.0992	0.005316687	0.998128723	14243.31252	-0.01652033	NA
MTE2a	85914.40606	0.005369804	0.998128723	73120.07825	0.006281889	0.952317802
ORR1A4	46965.15408	0.00542735	0.998128723	40782.16469	-0.000879857	0.990130733
B4A	438685.9541	0.005558496	0.998128723	333240.2373	0.010731787	0.906595541
L1MEa	801.1633289	0.005652657	0.998128723	723.1235926	-0.020492824	NA
RLTR31_Mur	4557.323773	0.005662563	0.998128723	3745.255286	-0.044147489	NA
Cheshire_Mars	12.38358142	0.005670146	0.998128723	7.051418027	-0.010906383	NA
LTR90B	361.3361268	0.005820926	0.998128723	299.5671781	0.058939701	NA
ORR1D1	106743.0744	0.005978559	0.998128723	97759.36429	0.00280562	0.990130733
MT2C_Mm	14079.09808	0.005979543	0.998128723	11598.82425	0.015859747	NA
MER2	36445.59087	0.006022049	0.998128723	29463.10327	0.015763695	0.906595541
L3	31559.12934	0.006248787	0.998128723	24769.07099	0.014260577	0.906595541
MLT1C-int	651.1978941	0.006361881	0.998128723	529.3214804	0.049446444	NA
Ricksha_b	9.419178256	0.006551489	0.998128723	9.816989008	-0.020425311	NA
B4	250156.0071	0.006570399	0.998128723	190264.4354	0.005243612	0.952317802
L1MA6	35890.47263	0.006571159	0.998128723	29976.02744	-0.001731727	0.990130733
MTD	286647.9412	0.006697888	0.998128723	232525.7039	0.009826587	0.912071984
RLTR11A	23374.78258	0.006729525	0.998128723	20000.33325	-0.011799775	0.906595541
ORR1D2-int	10575.36101	0.006740115	0.998128723	9282.20723	0.029806582	NA
HERVL32-int	4.226137467	0.007071877	0.998128723	3.875169704	0.010116578	NA
ORR1A2	88735.19623	0.007122328	0.998128723	72796.8326	-0.011119932	0.939739616
MER110	621.8326742	0.007253476	0.998128723	533.260528	0.081710811	NA
L1MD	26292.39752	0.007254055	0.998128723	21985.88461	0.005548184	0.952317802
L1_Mur1	110194.6419	0.00730501	0.998128723	106354.3519	0.001917216	0.990130733
BGLII_B	12464.50572	0.007389881	0.998128723	9996.752	0.001957803	NA
RMER13A	24941.48267	0.007490109	0.998128723	20181.44036	-0.019698914	0.904804207
L1MB4	13993.78106	0.007521535	0.998128723	11139.8762	0.013896217	NA
L1MA7	16076.60565	0.007700049	0.998128723	13491.78293	0.030303052	NA
MLT1M	1033.252966	0.007704438	0.998128723	729.2421459	-0.015032058	NA
RSINE1	375045.3455	0.007707517	0.998128723	279160.7239	0.018803734	0.688259486
LTR45C	77.51428151	0.007753145	0.998128723	61.98161283	0.006132411	NA
MER97b	267.9976835	0.007775892	0.998128723	240.0999544	-0.003226201	NA
RLTR11B	12598.72801	0.007826592	0.998128723	9949.787157	0.003296761	NA
LTR40b	2784.306216	0.008034474	0.998128723	2239.901586	-0.030035542	NA
Tigger5	16456.18755	0.008099983	0.998128723	13289.0653	0.002813466	NA
MLT1E1-int	50.15026864	0.008162233	0.998128723	48.43696188	-0.04724383	NA
LTR39	38.19453484	0.008173785	0.998128723	33.6014575	0.056203555	NA
MER3	10274.92602	0.008195165	0.998128723	8053.135558	0.03214048	NA
ORR1A4-int	19482.26864	0.008290092	0.998128723	17630.76482	-0.007467088	0.952317802
LTR52-int	263.0139963	0.008367707	0.998128723	215.2588273	-0.01284595	NA
Charlie4a	4767.722039	0.008392757	0.998128723	3767.81346	0.035603046	NA
RLTR42	1081.674324	0.008468946	0.998128723	832.2795028	0.001589121	NA
RMER10B	16911.11466	0.008506739	0.998128723	12283.00722	-0.014858866	NA
MTB_Mm-int	4331.559903	0.008631513	0.998128723	3552.248363	-0.041648637	NA
MER31-int	1118.720201	0.008643479	0.998128723	940.4482976	0.033733924	NA
ORR1A3	27154.11987	0.008704401	0.998128723	23090.54158	-0.00589636	0.952317802
L1MA4	40756.95803	0.008739501	0.998128723	34069.37159	0.026011672	0.772607371
MER58A	14545.87817	0.008907618	0.998128723	11473.78091	0.030604685	NA
LTR41B	1314.401142	0.008931389	0.998128723	952.1456118	0.022649241	NA
MLT2D	7194.610163	0.008946306	0.998128723	5827.648608	0.024171635	NA
LTRIS_Mm	5610.323779	0.008969655	0.998128723	6244.235469	-0.054045906	NA
L1MEd	4701.831979	0.009079181	0.998128723	3918.806989	-0.065516278	NA
MER33	9751.206288	0.009179588	0.998128723	7977.437237	0.028086988	NA
MER50	32.62373276	0.009184257	0.998128723	27.00470919	0.006368795	NA
B2_Mm1t	99585.06303	0.009185291	0.998128723	76492.63483	0.043471219	0.505578316
MER21B	19371.97867	0.009276013	0.998128723	15133.84592	0.009107836	NA
MLT1C	37188.01898	0.00949276	0.998128723	29464.07641	0.012862495	0.906595541
HUERS-P3b-int	6.97497268	0.009600576	0.998128723	5.98534323	0.014127225	NA
Charlie2b	3527.639054	0.009604203	0.998128723	3003.701631	0.010747623	NA
RLTR12A	6284.028428	0.009625061	0.998128723	5090.347295	-0.02074839	NA
MTA_Mm	121021.6304	0.009680169	0.998128723	103310.034	-0.008975204	0.952317802
L1_Rod	73949.05674	0.009742941	0.998128723	66033.98793	-0.005208578	0.952317802
L1MB3	29068.52542	0.009906409	0.998128723	22899.72335	0.029749571	0.661687674
MT2A	72904.43728	0.009946285	0.998128723	59039.88286	0.013698588	0.892371926
MER104	944.6589168	0.010062332	0.998128723	761.7602838	0.116398113	NA
L1MC4	28105.91579	0.01014783	0.998128723	22498.30769	0.013954915	0.920526391
L1ME2z	7032.371792	0.010256401	0.998128723	5915.004517	0.046475819	NA
LTR86C	352.3262022	0.010338064	0.998128723	289.9644681	-0.111692919	NA
B2_Mm1a	80308.19015	0.010428137	0.998128723	61760.54141	0.036563502	0.558869559
RodERV21-int	18138.28307	0.010496057	0.998128723	16327.83809	-0.016569391	0.906595541
MLT1H2	4283.112464	0.010554795	0.998128723	3328.784217	0.019797808	NA
MER92A	145.8529912	0.010610412	0.998128723	127.3220063	0.001916774	NA
MLT1J2	4587.89988	0.010630083	0.998128723	3633.858909	-0.000272126	NA
L1M4b	13603.42634	0.010700676	0.998128723	11154.05072	0.014688963	NA
L1MDb	2645.650512	0.010817294	0.998128723	2129.193759	0.047372828	NA
AluF_3	428.9285901	0.010843749	0.998128723	311.4837854	0.049578135	NA
MER50B	36.3891807	0.01101986	0.998128723	26.02863889	-0.025861362	NA
MamGypLTR1b	556.3073327	0.011034164	0.998128723	452.4386129	-0.017423764	NA
LTR16B1	1954.344261	0.011295031	0.998128723	1539.742171	-0.055895122	NA
Charlie13a	943.3633507	0.01165641	0.998128723	707.7358447	0.067485141	NA
MERVL_2A-int	36716.02364	0.011828119	0.998128723	31030.83796	0.001617138	0.990130733
MLT1A1	34227.90204	0.01212536	0.998128723	27732.81749	0.019927303	0.772607371
MLT1E2	9087.765037	0.012209094	0.998128723	7402.278762	0.038733333	NA
L1ME1	28739.82093	0.012271378	0.998128723	23394.80402	0.013194621	0.939739616
L1M4	57641.26815	0.012428883	0.998128723	47775.46024	0.011055411	0.952317802
L1MEf	17601.85335	0.012532293	0.998128723	14824.77552	0.014197437	NA
MTE2b-int	5713.934676	0.012684756	0.998128723	4800.919792	-0.022040637	NA
PB1	41142.83567	0.012746684	0.998128723	29866.14939	0.027106361	0.636430234
MLT1H1	4720.065302	0.012760272	0.998128723	3682.479792	-0.010564631	NA
MLT1A1-int	964.1589113	0.012846398	0.998128723	783.0571939	0.025606048	NA
MER81	1400.564064	0.01291581	0.998128723	1065.282419	-0.031519256	NA
Ricksha_c	1471.114676	0.013098065	0.998128723	1164.111544	0.036850334	NA
LTR48B	1469.009216	0.013326325	0.998128723	1128.480333	-0.011487529	NA
MT2B	62553.65572	0.013345097	0.998128723	48095.33702	0.020778456	0.688259486
RLTR21	17454.93588	0.013416817	0.998128723	14542.69468	0.029497713	NA
B1_Mus1	338486.5828	0.013465521	0.998128723	254578.9266	0.0221544	0.688259486
ID4_	64655.40125	0.013520678	0.998128723	47947.19349	0.028886941	0.578078726
MamGypLTR2c	396.299062	0.013807645	0.998128723	324.1667044	-0.084367742	NA
L1MEg	18995.12774	0.013927378	0.998128723	16078.87366	0.018393023	0.904804207
MLT-int	4665.654909	0.01399068	0.998128723	3777.851928	0.012225434	NA
B1_Mur2	106885.7123	0.013995136	0.998128723	78001.38167	0.032644553	0.558869559
ID4	59285.78048	0.014078236	0.998128723	44095.8805	0.033941477	0.506622449
MLT1N2-int	25.73782007	0.014126212	0.998128723	18.81583039	0.019022424	NA
MER89-int	545.5352956	0.014383448	0.998128723	451.1702861	0.048222705	NA
MamRep1161	973.1377321	0.014502364	0.998128723	768.103103	0.019349165	NA
RMER2	16326.2992	0.014518448	0.998128723	13185.6487	-0.000732199	NA
MER67C	3129.666065	0.014580392	0.998128723	2593.656112	-0.002746918	NA
L1MCb	4014.618505	0.014677442	0.998128723	3404.03543	-0.00740672	NA
MER34B-int	332.0005201	0.014816117	0.998128723	284.6039285	0.02172983	NA
ORR1A2-int	30853.84522	0.014823392	0.998128723	25895.08443	-0.012954707	0.906595541
Kanga1c	651.2772079	0.014870734	0.998128723	559.358502	0.042065894	NA
LTR81A	709.4349975	0.015005241	0.998128723	578.8887302	0.003284889	NA
Charlie10b	152.6796206	0.015469999	0.998128723	112.5257534	-0.058290749	NA
MLT1B	42413.46551	0.015678579	0.998128723	33783.34861	0.012938902	0.904804207
PB1D10	214282.9881	0.015714032	0.998128723	156539.9714	0.026426084	0.605338875
MLT1N2	2850.024613	0.015779989	0.998128723	2275.501658	0.005389938	NA
RLTR24	9300.30484	0.016033204	0.998128723	7702.178332	-0.023191049	NA
RMER4A	15235.1055	0.016145483	0.998128723	12369.68242	0.028191858	NA
MMVL30-int	13603.93119	0.016200693	0.998128723	14550.6438	0.003369738	NA
MT2_Mm	24437.12121	0.016419686	0.998128723	23295.14035	-0.010177651	0.952317802
L2a	90273.48253	0.016507692	0.998128723	70272.51604	0.02401798	0.688259486
RLTR20B2	5396.966982	0.016510865	0.998128723	4270.447739	-0.030246266	NA
LTR48	2551.416663	0.016549221	0.998128723	1967.33067	-0.039729724	NA
MTE2a-int	3696.766753	0.016793303	0.998128723	3141.970406	0.030601121	NA
B1_Mm	152551.3675	0.016989093	0.998128723	117544.3868	0.026377687	0.586430445
L1ME4a	7161.842396	0.01706033	0.998128723	5817.406593	0.040995558	NA
MER50-int	64.62000762	0.017248429	0.998128723	49.13297341	-0.026771899	NA
Ricksha	1224.455815	0.017272127	0.998128723	988.8909513	-0.00755654	NA
RMER12B	10255.68001	0.017415228	0.998128723	8407.311963	-0.002649593	NA
RLTR18	14607.96824	0.017530064	0.998128723	11610.36815	-0.014856731	NA
MER34A	3181.740326	0.017538202	0.998128723	2516.746371	0.038905006	NA
L1MEc	28625.76665	0.017551634	0.998128723	23849.65569	0.008430445	0.952317802
LTR44	14.13881603	0.017610443	0.998128723	8.970532545	-0.015938141	NA
RLTR20A	5811.536914	0.017676651	0.998128723	4412.023414	0.012513092	NA
L1MA5A	7793.259055	0.017709958	0.998128723	6527.264933	-0.011986913	NA
L1MEe	5338.235174	0.017802159	0.998128723	4625.537213	-0.024378629	NA
MLT1D	40295.13677	0.01791622	0.998128723	32021.93052	0.000372764	0.990130733
RMER5	43993.74792	0.018066451	0.998128723	35420.09722	0.021261433	0.688259486
Ricksha_0	470.4993854	0.018427232	0.998128723	368.387144	-0.035646783	NA
PB1D9	88263.77355	0.018430712	0.998128723	62457.17227	0.032231118	0.506622449
Charlie1b	3690.769866	0.018441931	0.998128723	2939.691851	0.011747538	NA
ORR1B2-int	9136.31433	0.018444164	0.998128723	7883.728519	-0.056778363	NA
B1_Mus2	252475.946	0.018502747	0.998128723	185680.8338	0.03701302	0.484334221
L1MEg1	484.3894775	0.018517752	0.998128723	367.2358087	0.016481826	NA
L1ME3B	7385.174699	0.018539252	0.998128723	6008.178533	0.021765061	NA
RLTR19C	2102.165774	0.018652865	0.998128723	1808.908865	-0.008391164	NA
MER67B	1102.317281	0.018780046	0.998128723	792.313843	-0.037699863	NA
MLT2B3	7607.899849	0.018832212	0.998128723	6153.145153	-0.00248934	NA
MLT1J	13158.11699	0.01907755	0.998128723	10521.96833	0.0402296	NA
MLT1H-int	1846.809328	0.019169105	0.998128723	1432.94311	-0.014858436	NA
Tigger12c	568.5116495	0.01925162	0.998128723	436.8937954	0.034954167	NA
LTR40a	3675.461593	0.01926408	0.998128723	2975.92117	-0.003336006	NA
LTR32	22.81565103	0.019330989	0.998128723	21.42460892	0.01692359	NA
Tigger7	25364.33667	0.019360467	0.998128723	20541.66446	0.005997541	0.952317802
LTR16B2	1928.235735	0.019382991	0.998128723	1522.369632	-0.052121625	NA
MamRep38	701.1608574	0.019383602	0.998128723	541.7863141	0.077028009	NA
MER68-int	357.1093899	0.019384788	0.998128723	276.8958246	-0.011320987	NA
RMER3D2	20.22695266	0.019416989	0.998128723	15.75664648	0.009444394	NA
MER97c	1469.733034	0.019435389	0.998128723	1230.167228	-0.054123992	NA
B1F	144272.612	0.019436974	0.998128723	105954.9726	0.037128326	0.467176595
MamGyp-int	181.913521	0.019750937	0.998128723	135.706073	0.012972273	NA
LTR83	716.8779682	0.019898471	0.998128723	560.0646366	0.00642624	NA
MER119	1875.971507	0.019994625	0.998128723	1475.115802	-0.059297282	NA
MER44B	5518.542693	0.020124312	0.998128723	4420.980471	0.011665281	NA
BGLII_Mus	3837.541712	0.020138882	0.998128723	3402.482276	-0.032079967	NA
MER63C	2946.423297	0.020222286	0.998128723	2453.696109	0.0129693	NA
L1MD2	16065.14256	0.020344688	0.998128723	13056.96014	0.020086584	NA
L1M3c	1748.632849	0.020525055	0.998128723	1525.424125	0.018506998	NA
L2	77791.91374	0.020679265	0.998128723	61240.34049	0.018328765	0.827663134
RMER3D4	12.20538265	0.020743288	0.998128723	6.269142923	-0.00971007	NA
MMAR1	2041.851966	0.021005677	0.998128723	1662.438365	0.081217836	NA
B1_Mur4	138014.8717	0.021123213	0.998128723	101000.6035	0.033678936	0.578078726
MER2B	2559.256013	0.021265485	0.998128723	2021.752185	-0.006951191	NA
ORR1E-int	13996.48977	0.02127955	0.998128723	11965.83973	0.012690185	NA
RLTR8	1838.810378	0.021332443	0.998128723	1655.252194	0.007314614	NA
ID	17904.61403	0.021339383	0.998128723	13385.06765	0.044742833	NA
ORR1A1-int	16127.0204	0.021488662	0.998128723	14273.47409	-0.012995291	NA
LTR16D1	389.2318197	0.021583317	0.998128723	302.0762756	-0.014241212	NA
FLAM_A	181.6822922	0.021625959	0.998128723	125.9266009	0.009540195	NA
L1ME3A	11120.18935	0.021627429	0.998128723	8902.4603	0.014961375	NA
LTR34	21.97801102	0.021667559	0.998128723	19.29319204	0.002751362	NA
B1F2	54292.57607	0.021760872	0.998128723	39169.76444	0.03786335	0.506622449
ERVL-int	4650.432366	0.022047947	0.998128723	3881.687142	0.060324285	NA
LTR68	431.5907561	0.022119824	0.998128723	358.4638373	-0.025545812	NA
MER96B	1443.100663	0.022200929	0.998128723	1187.386998	0.004253526	NA
LTR33	6524.700897	0.022228282	0.998128723	5034.991926	-0.033856383	NA
MER53	4831.141703	0.022237774	0.998128723	3879.783682	0.037690102	NA
PB1D7	74767.4249	0.022303937	0.998128723	55111.73414	0.036055026	0.506622449
FordPrefect_a	213.3945859	0.022311753	0.998128723	177.5644855	-0.016512829	NA
MTD-int	21314.75337	0.022345473	0.998128723	18538.11788	0.019654936	0.769015619
B1_Mur3	86381.25641	0.022352893	0.998128723	63255.67773	0.032152997	0.506622449
ID_B1	395154.9887	0.022373111	0.998128723	284396.8525	0.030576453	0.506622449
LTR28	31.87355241	0.022394182	0.998128723	29.30473299	0.006665938	NA
MT2B2	17608.53149	0.022421496	0.998128723	13971.35057	-0.016005676	NA
RMER15-int	21836.54039	0.022464985	0.998128723	18380.39687	0.003627209	0.963126228
LTR78	2572.060437	0.022528165	0.998128723	2076.366115	0.047450669	NA
B1_Mur1	129767.2515	0.022564211	0.998128723	94207.19447	0.037804337	0.505578316
Tigger13a	3063.149513	0.022691987	0.998128723	2479.419648	-0.003390165	NA
RLTR3_Mm	317.2944382	0.022822597	0.998128723	316.3346324	0.07035986	NA
RNERVK23-int	8695.455788	0.023091684	0.998128723	10397.79527	-0.046080991	NA
LTR31	980.9489498	0.023141144	0.998128723	713.5379502	-0.023786555	NA
MIRc	63772.1626	0.023196819	0.998128723	48477.11551	0.035237937	0.578078726
B1F1	65485.34156	0.023204211	0.998128723	47910.22231	0.024724239	0.758813364
HAL1	18602.29103	0.023222563	0.998128723	15123.8423	0.010369968	NA
MER49	25.97215823	0.023709297	0.998128723	18.65104573	0.005564138	NA
LTR23-int	26.6641385	0.023823642	0.998128723	29.52675611	0.03888673	NA
RMER3D3	28.5874484	0.024017537	0.998128723	18.02536745	-0.022376968	NA
MERVL-int	75510.69117	0.024028779	0.998128723	70565.91987	-0.006012312	0.952317802
MER57D	1468.441039	0.024080597	0.998128723	1177.072923	0.033882812	NA
MER54A	1530.791601	0.02418299	0.998128723	1127.453801	0.011542923	NA
ALINE	170.7789771	0.024204957	0.998128723	132.5505221	0.035769119	NA
MER5A	26551.15457	0.024353687	0.998128723	20391.94776	0.004555345	0.952317802
MER5B	15072.71529	0.024504167	0.998128723	11521.65809	0.020785607	NA
MER113	2756.949284	0.02460305	0.998128723	2202.977596	0.01571642	NA
HAL1-2a_MD	3941.85715	0.025242598	0.998128723	3362.70617	-0.015627775	NA
LTR87	947.0243682	0.025343334	0.998128723	733.9442264	-0.042040276	NA
Tigger6b	857.3858195	0.025372231	0.998128723	713.0175734	0.016335309	NA
BGLII_A	2001.947771	0.025448567	0.998128723	1741.648633	-0.000969337	NA
